x_cm,y_cm,z_cm,kineticEnergy_GeV
-13.3104,-0.0064,349.9000,4.2136
-15.1483,0.6957,349.9000,4.2202
-15.6187,-0.5244,349.9000,4.2239
-19.1705,-0.9800,349.9000,4.2236
-14.8094,0.3734,349.9000,4.2231
-15.6594,-0.1624,349.9000,4.2253
-14.6434,-2.8421,349.9000,4.2209
-12.2752,-0.9429,349.9000,4.2245
-15.7613,1.2105,349.9000,4.2252
-14.6973,0.3998,349.9000,4.2263
-13.5758,0.2428,349.9000,4.2232
-14.2763,-0.8480,349.9000,4.2230
-14.5178,-0.1445,349.9000,4.2230
-15.4116,-0.2383,349.9000,4.2252
-16.5677,0.0217,349.9000,4.2213
-16.0414,-0.8404,349.9000,4.2151
-16.0737,-0.3360,349.9000,4.2243
-16.0709,0.3522,349.9000,4.2230
-13.3091,-0.6635,349.9000,4.2246
-14.4859,0.4360,349.9000,4.2191
-14.9177,-1.5974,349.9000,4.2238
-20.7565,-0.9365,349.9000,4.2006
-12.3525,-1.3068,349.9000,4.2253
-13.6842,-0.0992,349.9000,4.2249
-15.7805,-1.2247,349.9000,4.2252
-15.0125,2.9170,349.9000,4.2258
-14.9505,-0.5754,349.9000,4.2264
-14.3042,-0.6433,349.9000,4.2255
-14.6135,0.9881,349.9000,4.2181
-12.3583,-1.4396,349.9000,4.2203
-14.9554,0.0320,349.9000,4.2202
-13.5810,0.6660,349.9000,4.2245
-13.5778,0.7659,349.9000,4.2254
